area_id,state_ut,district,locality,crime_risk_index,accident_risk_index,road_condition_score,sanitation_hygiene_score,public_review_score,emergency_access_score,environment_score,infrastructure_score,tourist_facilities_score,tourist_safety_score,tourist_friendliness_score,data_status,real_data_sources,score_method,data_year,requested_region_quota
IN-00001,Odisha,Angul,Angul Heritage Area 0001,41.0,61.53,49.64,36.36,15.43,46.91,75.77,33.68,43.94,44.22,41.9,SYNTHETIC_STARTER_DO_NOT_TREAT_AS_REAL,LGD; NCRB; Swachh Survekshan; road-accident; environment; POI/review data (to be integrated),Starter weighted heuristic; replace synthetic inputs with verified observations before ML training,2026,ODISHA_1000
IN-00378,Odisha,Keonjhar,Keonjhar Hill Area 0378,47.14,66.88,53.53,51.56,68.05,57.06,52.12,65.76,59.54,52.47,56.58,SYNTHETIC_STARTER_DO_NOT_TREAT_AS_REAL,LGD; NCRB; Swachh Survekshan; road-accident; environment; POI/review data (to be integrated),Starter weighted heuristic; replace synthetic inputs with verified observations before ML training,2026,ODISHA_1000
IN-00379,Odisha,Khordha,Khordha Heritage Area 0379,59.33,40.4,66.0,56.43,63.98,62.17,81.43,69.77,77.76,57.36,63.64,SYNTHETIC_STARTER_DO_NOT_TREAT_AS_REAL,LGD; NCRB; Swachh Survekshan; road-accident; environment; POI/review data (to be integrated),Starter weighted heuristic; replace synthetic inputs with verified observations before ML training,2026,ODISHA_1000
IN-00380,Odisha,Koraput,Koraput Market Area 0380,17.26,47.29,85.0,69.88,55.08,61.89,88.73,61.39,58.37,70.71,70.37,SYNTHETIC_STARTER_DO_NOT_TREAT_AS_REAL,LGD; NCRB; Swachh Survekshan; road-accident; environment; POI/review data (to be integrated),Starter weighted heuristic; replace synthetic inputs with verified observations before ML training,2026,ODISHA_1000
IN-00381,Odisha,Malkangiri,Malkangiri Transit Corridor 0381,77.93,13.71,57.23,61.31,63.3,77.27,52.46,53.59,33.19,56.09,59.63,SYNTHETIC_STARTER_DO_NOT_TREAT_AS_REAL,LGD; NCRB; Swachh Survekshan; road-accident; environment; POI/review data (to be integrated),Starter weighted heuristic; replace synthetic inputs with verified observations before ML training,2026,ODISHA_1000
IN-00382,Odisha,Mayurbhanj,Mayurbhanj Heritage Area 0382,40.07,53.2,57.48,86.08,83.2,75.6,68.55,83.33,64.82,67.0,73.51,SYNTHETIC_STARTER_DO_NOT_TREAT_AS_REAL,LGD; NCRB; Swachh Survekshan; road-accident; environment; POI/review data (to be integrated),Starter weighted heuristic; replace synthetic inputs with verified observations before ML training,2026,ODISHA_1000
IN-00383,Odisha,Nabarangpur,Nabarangpur Transit Corridor 0383,32.49,36.25,60.89,76.65,93.32,49.87,48.43,39.45,69.67,68.48,65.52,SYNTHETIC_STARTER_DO_NOT_TREAT_AS_REAL,LGD; NCRB; Swachh Survekshan; road-accident; environment; POI/review data (to be integrated),Starter weighted heuristic; replace synthetic inputs with verified observations before ML training,2026,ODISHA_1000
IN-00384,Odisha,Nayagarh,Nayagarh Temple Area 0384,5.0,55.74,71.34,64.28,65.78,50.15,73.77,50.7,92.59,69.3,65.0,SYNTHETIC_STARTER_DO_NOT_TREAT_AS_REAL,LGD; NCRB; Swachh Survekshan; road-accident; environment; POI/review data (to be integrated),Starter weighted heuristic; replace synthetic inputs with verified observations before ML training,2026,ODISHA_1000
IN-00385,Odisha,Nuapada,Nuapada Tourist Zone 0385,26.36,43.63,14.94,92.29,82.8,52.32,77.57,60.22,46.16,64.48,63.64,SYNTHETIC_STARTER_DO_NOT_TREAT_AS_REAL,LGD; NCRB; Swachh Survekshan; road-accident; environment; POI/review data (to be integrated),Starter weighted heuristic; replace synthetic inputs with verified observations before ML training,2026,ODISHA_1000
IN-00386,Odisha,Puri,Puri Transit Corridor 0386,55.28,55.38,63.22,71.15,84.79,61.74,49.44,59.36,76.91,59.39,64.78,SYNTHETIC_STARTER_DO_NOT_TREAT_AS_REAL,LGD; NCRB; Swachh Survekshan; road-accident; environment; POI/review data (to be integrated),Starter weighted heuristic; replace synthetic inputs with verified observations before ML training,2026,ODISHA_1000
IN-00387,Odisha,Rayagada,Rayagada Urban Area 0387,26.89,76.93,66.4,49.72,84.43,43.08,60.31,58.5,83.44,59.14,61.06,SYNTHETIC_STARTER_DO_NOT_TREAT_AS_REAL,LGD; NCRB; Swachh Survekshan; road-accident; environment; POI/review data (to be integrated),Starter weighted heuristic; replace synthetic inputs with verified observations before ML training,2026,ODISHA_1000
IN-00388,Odisha,Sambalpur,Sambalpur Beach Area 0388,61.72,60.12,38.13,49.11,54.35,82.79,75.75,38.53,70.47,48.86,53.16,SYNTHETIC_STARTER_DO_NOT_TREAT_AS_REAL,LGD; NCRB; Swachh Survekshan; road-accident; environment; POI/review data (to be integrated),Starter weighted heuristic; replace synthetic inputs with verified observations before ML training,2026,ODISHA_1000
IN-00389,Odisha,Subarnapur,Subarnapur Heritage Area 0389,57.62,95.0,62.16,50.41,88.78,12.46,60.22,97.39,65.58,45.8,58.66,SYNTHETIC_STARTER_DO_NOT_TREAT_AS_REAL,LGD; NCRB; Swachh Survekshan; road-accident; environment; POI/review data (to be integrated),Starter weighted heuristic; replace synthetic inputs with verified observations before ML training,2026,ODISHA_1000
IN-00390,Odisha,Sundargarh,Sundargarh Nature Area 0390,37.16,53.46,78.58,46.36,63.76,42.83,57.57,60.86,82.56,58.16,58.97,SYNTHETIC_STARTER_DO_NOT_TREAT_AS_REAL,LGD; NCRB; Swachh Survekshan; road-accident; environment; POI/review data (to be integrated),Starter weighted heuristic; replace synthetic inputs with verified observations before ML training,2026,ODISHA_1000
IN-00391,Odisha,Angul,Angul Tourist Zone 0391,27.39,19.15,37.66,49.65,28.61,35.16,52.3,28.73,42.62,53.8,42.46,SYNTHETIC_STARTER_DO_NOT_TREAT_AS_REAL,LGD; NCRB; Swachh Survekshan; road-accident; environment; POI/review data (to be integrated),Starter weighted heuristic; replace synthetic inputs with verified observations before ML training,2026,ODISHA_1000
IN-00392,Odisha,Balangir,Balangir Hill Area 0392,76.86,38.61,62.56,70.66,70.43,39.87,60.23,11.82,98.0,52.54,54.87,SYNTHETIC_STARTER_DO_NOT_TREAT_AS_REAL,LGD; NCRB; Swachh Survekshan; road-accident; environment; POI/review data (to be integrated),Starter weighted heuristic; replace synthetic inputs with verified observations before ML training,2026,ODISHA_1000
IN-00393,Odisha,Balasore,Balasore Market Area 0393,38.04,19.54,43.4,37.89,63.99,87.35,59.96,32.23,16.63,61.08,55.01,SYNTHETIC_STARTER_DO_NOT_TREAT_AS_REAL,LGD; NCRB; Swachh Survekshan; road-accident; environment; POI/review data (to be integrated),Starter weighted heuristic; replace synthetic inputs with verified observations before ML training,2026,ODISHA_1000
IN-00394,Odisha,Bargarh,Bargarh Nature Area 0394,38.86,52.78,62.45,74.03,60.79,59.75,60.49,53.95,92.01,60.96,62.25,SYNTHETIC_STARTER_DO_NOT_TREAT_AS_REAL,LGD; NCRB; Swachh Survekshan; road-accident; environment; POI/review data (to be integrated),Starter weighted heuristic; replace synthetic inputs with verified observations before ML training,2026,ODISHA_1000
IN-00395,Odisha,Bhadrak,Bhadrak Rural Area 0395,39.13,79.13,74.58,15.84,50.06,59.24,30.5,47.51,90.01,46.87,46.52,SYNTHETIC_STARTER_DO_NOT_TREAT_AS_REAL,LGD; NCRB; Swachh Survekshan; road-accident; environment; POI/review data (to be integrated),Starter weighted heuristic; replace synthetic inputs with verified observations before ML training,2026,ODISHA_1000
IN-00396,Odisha,Boudh,Boudh Tourist Zone 0396,43.8,62.87,31.32,86.3,71.23,39.6,78.84,44.08,76.15,55.85,58.54,SYNTHETIC_STARTER_DO_NOT_TREAT_AS_REAL,LGD; NCRB; Swachh Survekshan; road-accident; environment; POI/review data (to be integrated),Starter weighted heuristic; replace synthetic inputs with verified observations before ML training,2026,ODISHA_1000
IN-00397,Odisha,Cuttack,Cuttack Rural Area 0397,26.55,50.13,72.77,64.95,83.77,39.07,68.41,44.62,53.09,66.39,65.03,SYNTHETIC_STARTER_DO_NOT_TREAT_AS_REAL,LGD; NCRB; Swachh Survekshan; road-accident; environment; POI/review data (to be integrated),Starter weighted heuristic; replace synthetic inputs with verified observations before ML training,2026,ODISHA_1000
IN-00398,Odisha,Deogarh,Deogarh Rural Area 0398,75.68,32.96,45.24,66.49,62.43,55.87,98.0,46.51,60.0,52.75,59.35,SYNTHETIC_STARTER_DO_NOT_TREAT_AS_REAL,LGD; NCRB; Swachh Survekshan; road-accident; environment; POI/review data (to be integrated),Starter weighted heuristic; replace synthetic inputs with verified observations before ML training,2026,ODISHA_1000
IN-00399,Odisha,Dhenkanal,Dhenkanal Beach Area 0399,46.58,84.14,50.1,44.09,73.76,58.36,50.28,37.21,67.73,49.28,52.09,SYNTHETIC_STARTER_DO_NOT_TREAT_AS_REAL,LGD; NCRB; Swachh Survekshan; road-accident; environment; POI/review data (to be integrated),Starter weighted heuristic; replace synthetic inputs with verified observations before ML training,2026,ODISHA_1000
IN-00400,Odisha,Gajapati,Gajapati Hill Area 0400,18.65,49.4,41.35,69.07,90.24,57.82,88.78,29.22,49.92,68.25,64.74,SYNTHETIC_STARTER_DO_NOT_TREAT_AS_REAL,LGD; NCRB; Swachh Survekshan; road-accident; environment; POI/review data (to be integrated),Starter weighted heuristic; replace synthetic inputs with verified observations before ML training,2026,ODISHA_1000
IN-00401,Odisha,Ganjam,Ganjam Urban Area 0401,63.32,58.77,58.18,40.26,40.81,26.05,34.3,44.11,38.55,40.56,41.47,SYNTHETIC_STARTER_DO_NOT_TREAT_AS_REAL,LGD; NCRB; Swachh Survekshan; road-accident; environment; POI/review data (to be integrated),Starter weighted heuristic; replace synthetic inputs with verified observations before ML training,2026,ODISHA_1000
IN-00402,Odisha,Jagatsinghpur,Jagatsinghpur Transit Corridor 0402,55.09,75.26,57.66,59.85,68.51,66.39,48.87,56.56,66.18,51.92,58.06,SYNTHETIC_STARTER_DO_NOT_TREAT_AS_REAL,LGD; NCRB; Swachh Survekshan; road-accident; environment; POI/review data (to be integrated),Starter weighted heuristic; replace synthetic inputs with verified observations before ML training,2026,ODISHA_1000
IN-00403,Odisha,Jajpur,Jajpur Rural Area 0403,76.12,35.27,63.66,46.0,73.57,97.78,62.81,98.0,80.23,56.08,67.36,SYNTHETIC_STARTER_DO_NOT_TREAT_AS_REAL,LGD; NCRB; Swachh Survekshan; road-accident; environment; POI/review data (to be integrated),Starter weighted heuristic; replace synthetic inputs with verified observations before ML training,2026,ODISHA_1000
IN-00404,Odisha,Jharsuguda,Jharsuguda Nature Area 0404,39.54,50.15,66.52,39.46,70.42,45.17,61.07,59.4,81.73,56.62,57.18,SYNTHETIC_STARTER_DO_NOT_TREAT_AS_REAL,LGD; NCRB; Swachh Survekshan; road-accident; environment; POI/review data (to be integrated),Starter weighted heuristic; replace synthetic inputs with verified observations before ML training,2026,ODISHA_1000
IN-00405,Odisha,Kalahandi,Kalahandi Transit Corridor 0405,50.48,57.21,82.04,72.54,80.68,58.52,66.35,64.76,56.98,63.26,70.07,SYNTHETIC_STARTER_DO_NOT_TREAT_AS_REAL,LGD; NCRB; Swachh Survekshan; road-accident; environment; POI/review data (to be integrated),Starter weighted heuristic; replace synthetic inputs with verified observations before ML training,2026,ODISHA_1000
IN-00406,Odisha,Kandhamal,Kandhamal Urban Area 0406,9.96,52.28,35.68,43.89,73.26,76.3,74.39,39.89,60.33,63.94,57.97,SYNTHETIC_STARTER_DO_NOT_TREAT_AS_REAL,LGD; NCRB; Swachh Survekshan; road-accident; environment; POI/review data (to be integrated),Starter weighted heuristic; replace synthetic inputs with verified observations before ML training,2026,ODISHA_1000
IN-00407,Odisha,Kendrapara,Kendrapara Rural Area 0407,55.07,46.46,32.63,54.36,98.0,78.05,55.6,51.7,71.7,57.6,60.68,SYNTHETIC_STARTER_DO_NOT_TREAT_AS_REAL,LGD; NCRB; Swachh Survekshan; road-accident; environment; POI/review data (to be integrated),Starter weighted heuristic; replace synthetic inputs with verified observations before ML training,2026,ODISHA_1000
IN-00408,Odisha,Keonjhar,Keonjhar Tourist Zone 0408,38.14,65.67,18.19,37.99,51.23,40.62,43.88,41.62,69.2,42.98,39.47,SYNTHETIC_STARTER_DO_NOT_TREAT_AS_REAL,LGD; NCRB; Swachh Survekshan; road-accident; environment; POI/review data (to be integrated),Starter weighted heuristic; replace synthetic inputs with verified observations before ML training,2026,ODISHA_1000
IN-00409,Odisha,Khordha,Khordha Temple Area 0409,41.15,64.7,58.24,21.01,64.52,70.83,81.71,65.79,66.35,52.74,56.58,SYNTHETIC_STARTER_DO_NOT_TREAT_AS_REAL,LGD; NCRB; Swachh Survekshan; road-accident; environment; POI/review data (to be integrated),Starter weighted heuristic; replace synthetic inputs with verified observations before ML training,2026,ODISHA_1000
IN-00410,Odisha,Koraput,Koraput Nature Area 0410,34.78,63.51,83.72,26.21,59.47,80.19,65.63,49.89,50.45,58.49,59.6,SYNTHETIC_STARTER_DO_NOT_TREAT_AS_REAL,LGD; NCRB; Swachh Survekshan; road-accident; environment; POI/review data (to be integrated),Starter weighted heuristic; replace synthetic inputs with verified observations before ML training,2026,ODISHA_1000
IN-00411,Odisha,Malkangiri,Malkangiri Market Area 0411,59.5,5.0,52.08,68.14,78.05,73.55,46.48,51.96,34.72,63.79,62.89,SYNTHETIC_STARTER_DO_NOT_TREAT_AS_REAL,LGD; NCRB; Swachh Survekshan; road-accident; environment; POI/review data (to be integrated),Starter weighted heuristic; replace synthetic inputs with verified observations before ML training,2026,ODISHA_1000
IN-00412,Odisha,Mayurbhanj,Mayurbhanj Temple Area 0412,46.6,40.38,54.41,97.71,78.65,68.59,55.65,61.9,43.66,66.55,69.86,SYNTHETIC_STARTER_DO_NOT_TREAT_AS_REAL,LGD; NCRB; Swachh Survekshan; road-accident; environment; POI/review data (to be integrated),Starter weighted heuristic; replace synthetic inputs with verified observations before ML training,2026,ODISHA_1000
IN-00413,Odisha,Nabarangpur,Nabarangpur Beach Area 0413,48.6,35.28,45.79,70.8,98.0,75.16,29.25,40.91,84.03,63.72,62.65,SYNTHETIC_STARTER_DO_NOT_TREAT_AS_REAL,LGD; NCRB; Swachh Survekshan; road-accident; environment; POI/review data (to be integrated),Starter weighted heuristic; replace synthetic inputs with verified observations before ML training,2026,ODISHA_1000
IN-00414,Odisha,Nayagarh,Nayagarh Tourist Zone 0414,17.19,42.16,84.26,74.32,73.9,71.42,73.1,72.9,82.73,75.05,75.38,SYNTHETIC_STARTER_DO_NOT_TREAT_AS_REAL,LGD; NCRB; Swachh Survekshan; road-accident; environment; POI/review data (to be integrated),Starter weighted heuristic; replace synthetic inputs with verified observations before ML training,2026,ODISHA_1000
IN-00415,Odisha,Nuapada,Nuapada Heritage Area 0415,51.67,44.84,41.06,61.97,86.2,51.7,62.61,49.13,51.36,57.04,58.99,SYNTHETIC_STARTER_DO_NOT_TREAT_AS_REAL,LGD; NCRB; Swachh Survekshan; road-accident; environment; POI/review data (to be integrated),Starter weighted heuristic; replace synthetic inputs with verified observations before ML training,2026,ODISHA_1000
IN-00416,Odisha,Puri,Puri Rural Area 0416,49.06,52.86,49.22,71.5,65.06,73.94,60.22,54.49,76.16,58.08,61.25,SYNTHETIC_STARTER_DO_NOT_TREAT_AS_REAL,LGD; NCRB; Swachh Survekshan; road-accident; environment; POI/review data (to be integrated),Starter weighted heuristic; replace synthetic inputs with verified observations before ML training,2026,ODISHA_1000
IN-00417,Odisha,Rayagada,Rayagada Urban Area 0417,5.0,53.57,58.02,28.95,78.47,49.84,41.44,53.22,67.12,62.59,54.91,SYNTHETIC_STARTER_DO_NOT_TREAT_AS_REAL,LGD; NCRB; Swachh Survekshan; road-accident; environment; POI/review data (to be integrated),Starter weighted heuristic; replace synthetic inputs with verified observations before ML training,2026,ODISHA_1000
IN-00418,Odisha,Sambalpur,Sambalpur Hill Area 0418,48.91,51.09,52.29,56.75,64.43,77.37,57.19,42.85,67.94,56.73,57.94,SYNTHETIC_STARTER_DO_NOT_TREAT_AS_REAL,LGD; NCRB; Swachh Survekshan; road-accident; environment; POI/review data (to be integrated),Starter weighted heuristic; replace synthetic inputs with verified observations before ML training,2026,ODISHA_1000
IN-00419,Odisha,Subarnapur,Subarnapur Beach Area 0419,63.41,95.0,71.6,97.71,98.0,28.59,75.81,97.73,69.84,56.64,74.47,SYNTHETIC_STARTER_DO_NOT_TREAT_AS_REAL,LGD; NCRB; Swachh Survekshan; road-accident; environment; POI/review data (to be integrated),Starter weighted heuristic; replace synthetic inputs with verified observations before ML training,2026,ODISHA_1000
IN-00420,Odisha,Sundargarh,Sundargarh Nature Area 0420,18.81,45.58,91.58,54.33,51.01,41.17,59.45,73.91,87.61,65.09,63.26,SYNTHETIC_STARTER_DO_NOT_TREAT_AS_REAL,LGD; NCRB; Swachh Survekshan; road-accident; environment; POI/review data (to be integrated),Starter weighted heuristic; replace synthetic inputs with verified observations before ML training,2026,ODISHA_1000
IN-00421,Odisha,Angul,Angul Tourist Zone 0421,39.61,49.78,46.06,41.97,56.67,26.78,84.59,27.49,41.72,51.24,48.4,SYNTHETIC_STARTER_DO_NOT_TREAT_AS_REAL,LGD; NCRB; Swachh Survekshan; road-accident; environment; POI/review data (to be integrated),Starter weighted heuristic; replace synthetic inputs with verified observations before ML training,2026,ODISHA_1000
IN-00422,Odisha,Balangir,Balangir Urban Area 0422,60.98,37.04,55.22,85.24,71.11,39.14,65.6,43.22,98.0,58.13,61.06,SYNTHETIC_STARTER_DO_NOT_TREAT_AS_REAL,LGD; NCRB; Swachh Survekshan; road-accident; environment; POI/review data (to be integrated),Starter weighted heuristic; replace synthetic inputs with verified observations before ML training,2026,ODISHA_1000
IN-00423,Odisha,Balasore,Balasore Nature Area 0423,26.2,26.23,48.32,25.67,93.01,97.34,67.19,37.11,9.64,67.66,62.13,SYNTHETIC_STARTER_DO_NOT_TREAT_AS_REAL,LGD; NCRB; Swachh Survekshan; road-accident; environment; POI/review data (to be integrated),Starter weighted heuristic; replace synthetic inputs with verified observations before ML training,2026,ODISHA_1000
IN-00424,Odisha,Bargarh,Bargarh Market Area 0424,36.38,43.4,67.68,59.59,74.01,37.66,55.33,53.78,84.82,61.12,60.15,SYNTHETIC_STARTER_DO_NOT_TREAT_AS_REAL,LGD; NCRB; Swachh Survekshan; road-accident; environment; POI/review data (to be integrated),Starter weighted heuristic; replace synthetic inputs with verified observations before ML training,2026,ODISHA_1000
IN-00425,Odisha,Bhadrak,Bhadrak Hill Area 0425,41.61,48.71,48.4,44.02,49.06,35.07,52.92,73.66,82.85,49.67,49.8,SYNTHETIC_STARTER_DO_NOT_TREAT_AS_REAL,LGD; NCRB; Swachh Survekshan; road-accident; environment; POI/review data (to be integrated),Starter weighted heuristic; replace synthetic inputs with verified observations before ML training,2026,ODISHA_1000
IN-00426,Odisha,Boudh,Boudh Heritage Area 0426,67.36,65.4,56.07,89.37,76.86,44.25,84.26,70.8,60.43,55.33,67.11,SYNTHETIC_STARTER_DO_NOT_TREAT_AS_REAL,LGD; NCRB; Swachh Survekshan; road-accident; environment; POI/review data (to be integrated),Starter weighted heuristic; replace synthetic inputs with verified observations before ML training,2026,ODISHA_1000
IN-00427,Odisha,Cuttack,Cuttack Urban Area 0427,26.44,60.43,67.78,37.46,93.32,37.14,66.53,50.34,56.8,61.15,60.47,SYNTHETIC_STARTER_DO_NOT_TREAT_AS_REAL,LGD; NCRB; Swachh Survekshan; road-accident; environment; POI/review data (to be integrated),Starter weighted heuristic; replace synthetic inputs with verified observations before ML training,2026,ODISHA_1000
IN-00428,Odisha,Deogarh,Deogarh Beach Area 0428,82.64,80.21,67.53,59.11,37.41,43.07,52.6,54.78,41.55,38.85,49.37,SYNTHETIC_STARTER_DO_NOT_TREAT_AS_REAL,LGD; NCRB; Swachh Survekshan; road-accident; environment; POI/review data (to be integrated),Starter weighted heuristic; replace synthetic inputs with verified observations before ML training,2026,ODISHA_1000
IN-00429,Odisha,Dhenkanal,Dhenkanal Urban Area 0429,54.34,66.09,73.37,33.98,76.74,45.31,46.58,38.71,63.35,50.97,53.42,SYNTHETIC_STARTER_DO_NOT_TREAT_AS_REAL,LGD; NCRB; Swachh Survekshan; road-accident; environment; POI/review data (to be integrated),Starter weighted heuristic; replace synthetic inputs with verified observations before ML training,2026,ODISHA_1000
IN-00430,Odisha,Gajapati,Gajapati Heritage Area 0430,19.52,24.66,39.99,60.74,96.37,49.0,67.5,67.32,68.96,69.26,65.27,SYNTHETIC_STARTER_DO_NOT_TREAT_AS_REAL,LGD; NCRB; Swachh Survekshan; road-accident; environment; POI/review data (to be integrated),Starter weighted heuristic; replace synthetic inputs with verified observations before ML training,2026,ODISHA_1000
IN-00431,Odisha,Ganjam,Ganjam Tourist Zone 0431,44.2,71.91,63.93,51.8,69.18,55.99,57.49,65.8,59.64,54.37,59.26,SYNTHETIC_STARTER_DO_NOT_TREAT_AS_REAL,LGD; NCRB; Swachh Survekshan; road-accident; environment; POI/review data (to be integrated),Starter weighted heuristic; replace synthetic inputs with verified observations before ML training,2026,ODISHA_1000
IN-00432,Odisha,Jagatsinghpur,Jagatsinghpur Heritage Area 0432,37.99,50.2,32.85,72.38,50.01,43.65,33.5,49.22,54.02,52.3,49.0,SYNTHETIC_STARTER_DO_NOT_TREAT_AS_REAL,LGD; NCRB; Swachh Survekshan; road-accident; environment; POI/review data (to be integrated),Starter weighted heuristic; replace synthetic inputs with verified observations before ML training,2026,ODISHA_1000
IN-00433,Odisha,Jajpur,Jajpur Temple Area 0433,66.48,46.55,49.29,46.61,66.74,75.68,82.3,81.11,80.24,52.48,61.42,SYNTHETIC_STARTER_DO_NOT_TREAT_AS_REAL,LGD; NCRB; Swachh Survekshan; road-accident; environment; POI/review data (to be integrated),Starter weighted heuristic; replace synthetic inputs with verified observations before ML training,2026,ODISHA_1000
IN-00434,Odisha,Jharsuguda,Jharsuguda Rural Area 0434,43.94,36.88,58.83,55.85,68.04,58.9,65.89,63.26,77.25,60.07,61.23,SYNTHETIC_STARTER_DO_NOT_TREAT_AS_REAL,LGD; NCRB; Swachh Survekshan; road-accident; environment; POI/review data (to be integrated),Starter weighted heuristic; replace synthetic inputs with verified observations before ML training,2026,ODISHA_1000
IN-00435,Odisha,Kalahandi,Kalahandi Rural Area 0435,45.51,49.99,83.31,86.17,53.38,44.98,66.6,75.59,53.9,62.38,67.74,SYNTHETIC_STARTER_DO_NOT_TREAT_AS_REAL,LGD; NCRB; Swachh Survekshan; road-accident; environment; POI/review data (to be integrated),Starter weighted heuristic; replace synthetic inputs with verified observations before ML training,2026,ODISHA_1000
IN-00436,Odisha,Kandhamal,Kandhamal Heritage Area 0436,9.29,33.08,46.59,53.6,67.34,62.89,60.9,13.33,67.19,67.18,55.64,SYNTHETIC_STARTER_DO_NOT_TREAT_AS_REAL,LGD; NCRB; Swachh Survekshan; road-accident; environment; POI/review data (to be integrated),Starter weighted heuristic; replace synthetic inputs with verified observations before ML training,2026,ODISHA_1000
IN-00437,Odisha,Kendrapara,Kendrapara Heritage Area 0437,40.32,62.38,31.97,66.97,95.17,44.64,59.51,51.02,72.91,57.12,58.91,SYNTHETIC_STARTER_DO_NOT_TREAT_AS_REAL,LGD; NCRB; Swachh Survekshan; road-accident; environment; POI/review data (to be integrated),Starter weighted heuristic; replace synthetic inputs with verified observations before ML training,2026,ODISHA_1000
IN-00438,Odisha,Keonjhar,Keonjhar Nature Area 0438,44.14,53.81,35.79,47.84,76.03,65.09,60.76,46.48,61.58,54.39,54.78,SYNTHETIC_STARTER_DO_NOT_TREAT_AS_REAL,LGD; NCRB; Swachh Survekshan; road-accident; environment; POI/review data (to be integrated),Starter weighted heuristic; replace synthetic inputs with verified observations before ML training,2026,ODISHA_1000
IN-00439,Odisha,Khordha,Khordha Urban Area 0439,57.37,36.74,62.42,56.72,81.23,73.12,90.89,79.75,70.19,62.06,69.95,SYNTHETIC_STARTER_DO_NOT_TREAT_AS_REAL,LGD; NCRB; Swachh Survekshan; road-accident; environment; POI/review data (to be integrated),Starter weighted heuristic; replace synthetic inputs with verified observations before ML training,2026,ODISHA_1000
IN-00440,Odisha,Koraput,Koraput Rural Area 0440,48.54,62.57,74.95,46.58,64.19,68.99,64.46,46.94,72.04,56.46,60.01,SYNTHETIC_STARTER_DO_NOT_TREAT_AS_REAL,LGD; NCRB; Swachh Survekshan; road-accident; environment; POI/review data (to be integrated),Starter weighted heuristic; replace synthetic inputs with verified observations before ML training,2026,ODISHA_1000
IN-00441,Odisha,Malkangiri,Malkangiri Tourist Zone 0441,21.91,41.21,39.42,67.93,72.7,77.28,55.65,33.27,27.59,65.86,60.09,SYNTHETIC_STARTER_DO_NOT_TREAT_AS_REAL,LGD; NCRB; Swachh Survekshan; road-accident; environment; POI/review data (to be integrated),Starter weighted heuristic; replace synthetic inputs with verified observations before ML training,2026,ODISHA_1000
IN-00442,Odisha,Mayurbhanj,Mayurbhanj Temple Area 0442,47.05,36.15,35.54,70.77,52.45,45.95,47.4,86.32,58.44,53.59,55.18,SYNTHETIC_STARTER_DO_NOT_TREAT_AS_REAL,LGD; NCRB; Swachh Survekshan; road-accident; environment; POI/review data (to be integrated),Starter weighted heuristic; replace synthetic inputs with verified observations before ML training,2026,ODISHA_1000
IN-00443,Odisha,Nabarangpur,Nabarangpur Market Area 0443,39.64,28.33,48.89,67.73,98.0,72.44,49.91,34.38,76.3,67.77,64.81,SYNTHETIC_STARTER_DO_NOT_TREAT_AS_REAL,LGD; NCRB; Swachh Survekshan; road-accident; environment; POI/review data (to be integrated),Starter weighted heuristic; replace synthetic inputs with verified observations before ML training,2026,ODISHA_1000
IN-00444,Odisha,Nayagarh,Nayagarh Tourist Zone 0444,37.72,58.85,77.38,66.96,62.45,87.81,68.04,45.39,91.13,64.94,67.38,SYNTHETIC_STARTER_DO_NOT_TREAT_AS_REAL,LGD; NCRB; Swachh Survekshan; road-accident; environment; POI/review data (to be integrated),Starter weighted heuristic; replace synthetic inputs with verified observations before ML training,2026,ODISHA_1000
IN-00445,Odisha,Nuapada,Nuapada Urban Area 0445,32.76,59.43,18.81,79.83,84.06,56.03,69.17,54.32,48.17,59.36,60.2,SYNTHETIC_STARTER_DO_NOT_TREAT_AS_REAL,LGD; NCRB; Swachh Survekshan; road-accident; environment; POI/review data (to be integrated),Starter weighted heuristic; replace synthetic inputs with verified observations before ML training,2026,ODISHA_1000
IN-00446,Odisha,Puri,Puri Hill Area 0446,57.62,47.24,56.73,76.9,98.0,48.92,57.77,41.72,76.44,61.04,64.84,SYNTHETIC_STARTER_DO_NOT_TREAT_AS_REAL,LGD; NCRB; Swachh Survekshan; road-accident; environment; POI/review data (to be integrated),Starter weighted heuristic; replace synthetic inputs with verified observations before ML training,2026,ODISHA_1000
IN-00447,Odisha,Rayagada,Rayagada Urban Area 0447,24.37,60.96,56.49,63.48,72.22,54.52,67.91,60.24,77.75,62.44,62.7,SYNTHETIC_STARTER_DO_NOT_TREAT_AS_REAL,LGD; NCRB; Swachh Survekshan; road-accident; environment; POI/review data (to be integrated),Starter weighted heuristic; replace synthetic inputs with verified observations before ML training,2026,ODISHA_1000
IN-00448,Odisha,Sambalpur,Sambalpur Rural Area 0448,32.36,56.53,50.48,45.47,61.48,75.54,72.54,41.4,75.91,58.23,57.12,SYNTHETIC_STARTER_DO_NOT_TREAT_AS_REAL,LGD; NCRB; Swachh Survekshan; road-accident; environment; POI/review data (to be integrated),Starter weighted heuristic; replace synthetic inputs with verified observations before ML training,2026,ODISHA_1000
